date,label,category,title,mksa,content,harga yang dicari
25/12/2021,up,Finansial,Santa Claus: Let’s Go To The Moon!,Intinya… di penghujung tahun tepatnya 7 hari sebelum menutup tahun dan 2 hari setelah tahun baru ada sebuah fenomena yang bernama Santa Claus Rally yang dimana hal ini dipercaya mendongkrak nilai pasar saham dan crypto. Meskipun demikian Santa Claus Rally tidak datang di setiap penghujung tahun.,"Santa Claus Rally menurut Investopedia pada Jumat (24/12/2021), Santa Claus Rally atau Reli Sinterklas merupakan istilah yang menggambarkan sebuah fenomena di mana nilai pasar saham cenderung meningkat selama minggu terakhir bulan Desember dan memasuki dua hari perdagangan pertama tahun baru. Fenomena ini pertama kali diamati oleh Yale Hirsch dalam versi 1972 dari The Stock Trader’s Almanac. Pasar akan meningkat selama periode tujuh hari, meskipun demikian ada kondisi dimana pengembalian negatif dibeberapa hari tetapi kumulatif selama tujuh hari pengembaliannya positif. Teori yang dipercaya tentang Santa Claus Rally ini salah satunya yaitu disebabkan karena optimisme terjadinya bullish yang ditunjukan oleh kepercayaan investor serta ekspektasi menghasilkan hasil yang maksimal pada periode waktu tertentu. Menurut seekingalpha.com dalam historis Reli Santa Claus telah terjadi sebanyak 76 persen antar 1950 hingga 2019. Selain itu, Almanak Pedagang Saham 2019 mengatakan bahwa pasar telah naik rata-rata 1,3 persen selama periode itu. Namun, dalam periode satu dekade ke belakang hanya sebesar 0,38 persen rata-rata kenaikan pasar saham melihat fenomena Santa Claus Rally bahkan, pada hari-hari tersebut dalam beberapa tahun pasar saham mengalami penurunan yang signifikan. Walaupun demikian Santa Claus Rally memberikan dampak positif kepada IHSG selama 5 tahun terakhir yaitu: 2020 naik 0,52 persen 2019 naik 1,28 persen 2018 naik 3,61 persen 2017 naik 2,23 persen 2016 naik 3,70 persen Sedangkan dampak Santa Claus Rally pada pasar crypto terjadi peningkatan yang tajam pada tahun 2020 dan 2016 serta dalam 5 tahun terakhir pada Santa Claus Rally pada tahun 2019 terjadi penurunan. 2020 naik 36,01 persen 2019 turun -3,37 persen 2018 naik 2,90 persen 2017 naik 4,30 persen 2016 naik 13,45 persen Kira-kira tahun ini bagaimana ya efek dari Santa Claus Rally?",
27/12/2021,up,Finansial,"BUMN: Lapor, 120 Ton Kopi OTW Mesir Pak!",Intinya… PT Perusahaan Perdagangan Indonesia/PPI (Persero) berhasil ekspor kopi sebanyak 120 Ton dengan nilai 17 M rupiah. 120 Ton kopi ini di ekspor ke Mesir secara berkala di 2022 dengan kontrak pengiriman kopi mencapai 600 ton.,"PT Perusahaan Perdagangan Indonesia (Persero) yang merupakan perusahaan BUMN ini berhasil mengekspor lagi kopi ke Mesir. Kopi yang berasal dari Bandar Lampung ini dikirim pada Desember 2021. Kontrak perjanjian antara pembeli (buyer) dengan PT Perusahaan Perdagangan Indonesia (Persero) menyatakan untuk mengirimkan kopi ke Mesir sebanyak 600 ton secara berkala yang dihitung sejak September-Desember 2021 dengan nilai setara dengan Rp 17,21 miliar. Dirut PT Perusahaan Perdagangan Indonesia (Persero) mengatakan bahwa ekspor kopi ini bertujuan untuk mendorong pertumbuhan ekonomi di Indonesia. ""Periode September sampai Desember ini PPI mengambil jenis kopi robusta yang tumbuh di wilayah Lampung dan Sumatera Selatan. Kopi-kopi ini memiliki cita rasa unik yang dipengaruhi oleh cara pengolahannya dan kekhasan iklim daerah,"" ujar Nina dalam keterangan tertulis, Minggu (26/12/2021). Ia juga menyebutkan akan terus melihat potensi komoditas Indonesia untuk dibawa ke kancah Internasional. ""Kami juga telah melakukan pembicaraan terhadap beberapa negara yang memiliki minat cukup besar kepada kopi Indonesia,"" tuturnya. Andry Tanudjaja selaku Direktur Komersial dan Pengembangan PT Perusahaan Perdagangan Indonesia (Persero) menambahkan bahwa ekspor kopi yang dilakukan oleh PPI akan menjadi momentum pengembangan ekspor. Sebagai Ketua Dewan Kopi Nusantara Andry menjelaskan brand kopi Covare yang dimiliki oleh PPI merupakan hasil dari beragam petani Indonesia dengan varian seperti Aceh Gayo, Sumatra Mandailing, Sumatra Toba, Papua Blend dan Papua Wamena. ""Trend kopi di Mesir, tidak lepas dari kerja sama yang telah dilakukan selama ini. Indonesia menjadi peringkat pertama pengekspor kopi di Mesir dengan persentase 54%. PPI sangat optimis sinergi ini akan terus meningkat antara petani, buyers, dan pihak yang berkaitan,"" jelasnya.",pt persero
30/12/2021,down,Finansial,Yogyakarta alternatif Bali dalam pariwisata?,"Intinya… selama pandemi pariwisata Bali tidak bergairah, syarat perjalanan udara yang ribet selama pandemic COVID-19 buat masyarakat yang berlibur memilih destinasi wisata lain yang tidak memerlukan syarat serumit perjalanan udara.","Ekonomi bali terkontraksi selama pandemi salah satunya disebabkan oleh ribetnya syarat perjalanan yang harus dipenuhi jika menggunakan jalur transportasi udara. Direktur Eksekutif CORE Indonesia menilai bahwa masyarakat yang ingin berlibur memilih destinasi wisata lain salah satunya Yogyakarta dengan syarat perjalanan tidak serumit perjalanan udara. Ekonomi bali tumbuh 2,8 persen sedangkan Yogyakarta 11,8 persen pada kuartal II 2021. ""Memang ada faktor restriksi kebijakan yang mempengaruhi. Ketika transportasi udara direstriksi lebih ketat dibanding transportasi darat, ini menyebabkan permintaan jasa pariwisata tidak bisa pergi ke Bali. Maka cari daerah yang masih bisa (dikunjungi), seperti Yogyakarta,"" Kata Faisal dalam diskusi media Refleksi Ekonomi Akhir Tahun 2021, Rabu (29/12/2021). Yogyakarta menjadi salah satu pilihan wisatawan karena jaraknya yang lebih dekat dari lima kota besar yaitu Jabodetabek. Perjalanan menuju Yogyakarta juga dapat ditempuh menggunakan kereta atau jika menggunakan mobil pribadi jaraknya akan lebih dekat daripada Bali dan juga masih berada di pulau yang sama, begitu tutur Faisal. ""Yogyakarta masih dekat dengan pusat kota lima besar. Masih ada di dalam satu daratan yang difasilitasi dengan tol lintas Jawa,"" ujar Faisal. Yogyakarta memiliki beragam struktur ekonomi yang membantu pertumbuhan ekonomi selama pandemi COVID-19. Sektor pendidikan, industri pengolahan, informasi dan komunikasi dan sektor konstruksi masih menjadi penopang pertumbuhan ekonomi di Yogyakarta sedangkan Bali dominan mengandalkan sektor pariwisata. ""Pada kuncinya adalah struktur ekonomi. Tapi struktur ekonomi ini juga yang menyebabkan perbedaan pemulihan antardaerah, berkelindan dengan faktor-faktor lain seperti pengaruh dari gas dan rem karena adanya peningkatan dan penurunan COVID-19,"" ucap Faisal.",
31/12/2021,down,Finansial,Tutup tahun bagi para e-commerce: Banyak Lembar Baru,"intinya… cukup banyak yang terjadi di dunia e-commerce Indonesia, mulai dari CEO bukalapak yang mengundurkan diri sampai tokopedia yang membeli 8.5% saham NET.TV yang bahkan sebenarnya baru go public di 25 Januari 2022… Optimis ya…","Oke kita mulai dari yang masih hangat di perbincangkan, mundurnya CEO Bukalapak. Pada 28 Desember 2021 kemarin, Muhammad Rachmat Kaimuddin menyampaikan surat pengunduran dirinya dari posisi CEO di Bukalapak. Dalam pernyataannya, Kaimuddin tetap akan membantu proses transisi kepemimpinan di Bukalapak. Kabar terbaru yang diperbaharui tanggal 30 Desember 2021 kemarin bahwa Bukalapak menunjuk Willix Halim sebagai pelaksana tugas CEO dalam masa transisi ini. Masa transisi berlaku sampai para stakeholder Bukalapak menerima pengunduran diri Kaimuddin dan menunjuk CEO baru. Halim dulunya menjabat sebagai COO di Bukalapak. Berarti saat ini Halim merangkap melaksanakan tugas-tugas CEO dan COO sekaligus. Alasan Kaimuddin mundur terbilang cukup mengagetkan. Memilih untuk menjadi abdi negara melalui pekerjaan sebagai pegawai negeri sipil menjadi pilihan hidup Kaimuddin kali ini dan membuatnya harus melepas jabatan bergengsi tersebut. Hal ini menimbulkan kontroversi di kalangan pekerja teknologi di Indonesia. Kaimuddin sendiri telah menjabat sebagai CEO di Bukalapak sejak 6 Januari 2020, menggantikan sang penemu perusahaan, Achmad Zaky. Hal ini cukup mengagetkan pada waktu itu karena Achmad Zaky meninggalkan perusahaan bersama dengan dua penemu perusahaan lainnya, Muhammad Fajrin Rasyid dan Nugroho Herucahyono. Sebagai seorang CEO, sebenarnya kinerja Kamiuddin cukup baik. Terbukti dengan berhasil membawa Bukalapak go public. Hal ini menjadikan Bukalapak perusahaan rintisan unicorn pertama yang tersedia di pasar saham Indonesia. Bukalapak berhasil menghasilkan 1.5 juta dollar Amerika Serikat dari penjualan saham saat debutnya. Hasil penjualan debut ini merupakan yang terbesar sepanjang sejarah bursa saham Indonesia. Ada yang cabut, ada yang datang. Salah satu pesaing utama Bukalapak, yaitu Tokopedia justru melakukan investasi. Tokopedia mengakuisisi 8.5% dari PT Net Visi Media, perusahaan yang menjalankan NET TV. Akuisisi ini terbilang langkah yang cukup berani, karena saham NET saja baru go public pada 25 Januari 2022 mendatang. Pada tanggal 29 Desember 2021 kemarin, PT Net Visi Media menyampaikan bahwa mereka akan menawarkan 765 juta saham mereka ke IPO. Harga per lembarnya dimulai dari sekitar 190 sampai 196 rupiah. Ditargetkan perusahaan meraup untung sampai 150 miliar rupiah dari hasil pelepasan saham ini. Perjanjian ini ternyata sudah ada cukup lama. Pada November 2017, perusahaan yang bergerak di media massa ini menyetujui persetujuan dengan Tokopedia untuk mentransfer obligasi konversi sekitar 405 miliar rupiah ke Tokopedia. Tokopedia kemudian mengirimkan obligasi konversi tersebut kepada anak perusahaannya, PT Semangat Bambu Runcing. Di satu sisi, PT Net Visi Media juga perlu berhati-hati karena faktanya 95% dari revenue yang dihasilkan berasal dari stasiun televisi NET. Padahal perusahaan ini punya banyak cabang anak perusahaan.",
3/1/2022,down,Finansial,Pemerintah: Batu bara jangan keluar negeri dulu ya!,Intinya… Pemerintah melarang ekspor batu bara selama bulan Januari 2022. Hal ini dilakukan guna memenuhi pasokan batu bara domestik.,"Kegiatan ekspor batu bara resmi dilarang oleh pemerintah selama bulan Januari 2022 yang diterbitkan oleh Kementerian ESDM melalui surat Ditjen Minerba Nomor 1605/MB.05/DJB.B/2021 pada 31 Desember 2021. Periode pelarangan ekspor batu bara ini selama bulan Januari tepatnya 1 – 31 Januari 2022 bagi para pemegang Izin Usaha Pertambangan (IUP) atau IUPK tahap operasi kegiatan produksi, IUPK Sebagai kelanjutan Operasi Kontrak/Perjanjian dan PKP2B. Hal ini dilakukan oleh pemerintah Indonesia dalam rangka memenuhi pasokan batu bara domestik untuk pembangkit listrik. Pasokan batu bara yang kurang ini mempengaruhi 10 juta pelanggan PT PLN (Persero), dari masyarakat umum hingga industri di Jawa, Madura, Bali (Jamali) dan non Jamali. ""Kenapa semuanya dilarang ekspor? Terpaksa dan ini sifatnya sementara. Jika larangan ekspor tidak dilakukan, hampir 20 Pembangkit Listrik Tenaga Uap (PLTU) dengan daya sekitar 10.850 mega watt (MW) akan padam. Ini berpotensi mengganggu kestabilan perekonomian nasional,"" terang Dirjen Minerba Ridwan Djamaluddin. Apa dampak dari pelarangan ekspor batu bara? Pandu Sjahrir, Ketua APBI menyampaikan bahwa industri batu bara akan berdampak signifikan secara umum kepada pemilik Izin Usaha Pertambangan (IUP) atau IUPK tahap operasi kegiatan produksi, IUPK Sebagai kelanjutan Operasi Kontrak/Perjanjian dan PKP2B. mengutip dari CNBC Indonesia dampak yang akan terjadi akibat pelarangan ekspor batu bara yaitu: Volume produksi batu bara nasional akan terganggu sebesar 38-40 juta MT per bulan; Pemerintah akan kehilangan devisa hasil ekspor batu bara sebesar kurang lebih US$ 3 milyar per bulan; Pemerintah akan kehilangan pendapatan pajak dan non pajak (royalti) yang mana hal ini juga berdampak kepada kehilangan penerimaan pemerintah daerah; Arus kas produsen batu bara akan terganggu karena tidak dapat menjual batubara ekspor; Kapal-kapal tujuan ekspor, hampir semuanya adalah kapal-kapal yang dioperasikan atau dimiliki oleh perusahaan negara-negara tujuan ekspor. Kapal-kapal tersebut tidak akan dapat berlayar menyusul penerapan kebijakan pelarangan penjualan ke luar negeri ini yang dalam hal ini perusahaan akan terkena biaya tambahan oleh perusahaan pelayaran terhadap penambahan waktu pemakaian (demurrage) yang cukup besar (US$20,000 - US$ 40,000 per hari per kapal) yang akan membebani perusahaan-perusahaan pengekspor yang juga akan berdampak terhadap penerimaan negara; Kapal-kapal yang sedang berlayar ke perairan Indonesia juga akan mengalami kondisi ketidakpastian dan hal ini berakibat pada reputasi dan kehandalan Indonesia selama ini sebagai pemasok batu bara dunia; Deklarasi force majeure secara masif dari produsen batu bara karena tidak dapat mengirimkan batubara ekspor kepada pembeli yang sudah berkontrak sehingga akan banyak sengketa antara penjual dan pembeli batubara; Pemberlakuan larangan ekspor secara umum akibat ketidakpatuhan dari beberapa perusahaan akan merugikan bagi perusahaan yang patuh dan bahkan seringkali diminta untuk menambal kekurangan pasokan; Menciptakan ketidakpastian usaha sehingga berpotensi menurunkan minat investasi di sektor pertambangan mineral dan batu bara. Sebagai mitra Pemerintah kami senantiasa mendukung kebijakan dan peraturan yang diterbitkan oleh Pemerintah. Namun tentu saja kami berharap agar bisa dilibatkan atau paling tidak diminta klarifikasi jika ada keluhan yang dialami oleh pihak pengguna batu bara domestik termasuk PLN.",
5/1/2022,down,Finansial,"Inflasi Turki, to the moon?","Intinya… Inflasi yang terjadi di Negara Turki melambung sangat tinggi sebesar 36,08% (yoy) pada Desember 2021, bahkan menembus rekor tertinggi sejak 2002.","Inflasi sebesar 36% yang terjadi di Turki tidak lepas dari jatuhnya nilai lira Turki terhadap dollar Amerika Serikat (AS). Lira anjlok 76,17% terhadap dollar selain itu, transportasi yang naik 53,66% dan harga makanan sebesar 43,8% juga menjadi penyebabnya. ""Ini mencerminkan lingkaran setan inflasi tarikan permintaan, yang sangat berbahaya karena bank sentral telah menyiratkan bahwa tekanan harga berasal dari kendala pasokan, dan tidak dapat berbuat apa-apa,"" kata Ozlem Derici Sengul, mitra pendiri di Spinn Consulting, di Istanbul. ""Tarif harus segera dan agresif dinaikkan,"" katanya. ""Inflasi tahunan mungkin akan mencapai 40-50% pada bulan Maret."" Kebijakan suku bunga rendah September 2021 kepada bank sentral oleh Presiden Recep Tayyip Erdogan tak lepas dari anjloknya nilai lira Turki, hingga 500 basis poin suku bunga dipangkas oleh bank sentral. Erdogan menganggap bahwa suku bunga yang tinggi tidak baik terhadap perekonomian. Ia memaksa bank sentral untuk mengambil kebijakan hawkish, bahkan memecat gubernur bank sentral yang ingin menaikan tingkat suku bunga. Hal ini terjadi pada maret 2021, saat dipecatnya Naci Agbal, Gubernur bank sentral Turki (TCMB) yang baru menjabat selama 5 bulan karena ingin menaikan suku bunga. Erdogan meminta kepada pebisnis serta individu untuk lebih sering menggunakan mata uang lokal daripada asing, sebagai upaya menyelamatkan lira. ""Selama ini kita tidak memakai mata uang kita sendiri sebagai benchmark, makanya kita pasti akan tenggelam. Lira yang akan akan kita majukan, bukan dengan mata uang asing,"" kata Mantan Perdana Menteri Turki periode 2003-2014 tersebut.",
6/1/2022,down,Finansial,"Gojek kembali digugat atas dugaan pelanggaran hak cipta sebesar Rp24,9 triliun!","Intinya... Gojek dan pendirinya, Nadiem Makarim digugat 24,9 triliun rupiah atas dugaan pelanggaran hak cipta model bisnis ojek daring dengan blog milik Arman Chasan.","Dulu, GoTo yang merupakan perusahaan gabungan antara Gojek dan Tokopedia sempat digugat atas permasalahan merek dagang dengan tuntutan sebesar 2 triliun rupiah. Belum hilang dari ingatan mengenai kasus merek GoTo, sekarang perusahaan transportasi PT Aplikasi Karya Anak Bangsa dan pendirinya, Nadiem Makarim kembali digugat karena hak cipta layanan ‘ojek online’. Tuntutan atas pelanggaran hak cipta berupa kekayaan intelektual ini membuat Gojek dituntut untuk membayar royalti sebesar 24,9 triliun rupiah. Gugatan ini diajukan oleh Hasan Azhari alias Arman Chasan yang dilayangkan ke Pengadilan Niaga Jakarta Pusat pada akhir Desember lalu (31/12/2021). Berdasarkan surat gugatan dengan nomor 86/Pdt.Sus-HKI/Cipta/2021/PN Niaga Jkt.Pst itu, Hasan menyatakan bahwa Gojek dan pendirinya, Nadiem Makarim telah melanggar hak cipta atas kekayaan intelektual berupa model bisnis ojek onlinenya sehingga harus membayar ganti rugi sebesar 10 miliar rupiah, diluar dari tuntutan royalti yang telah disebutkan. Kuasa hukum penggugat, Rochmani, mengatakan bahwa kliennya telah menciptakan model bisnis ojek online yang mirip dengan gojek pada tahun 2008 bahkan sudah memiliki sertifikat hak cipta dan disertai oleh perlindungan pemerintah. Hal tersebut diberitahukan oleh Rochmani pada kanal YouTube Hersubeno Point pada akhir pekan lalu (1/1). Ternyata Hasan telah mengembangkan bisnis ojek onlinenya dengan menggunakan program komputer yang berbasis blogspot yang melayani rute Bintaro, Jakarta, dan sekitarnya. Pelayanan yang diberikan pun mirip dengan Gojek yang di mana pengguna akan menghubungi penyedia layanan disertai dengan kesepakatan harga. Namun, Chief of Corporate Affair Gojek Group, Nila Marita mengatakan bahwa pihaknya belum lama mengetahui gugatan hak cipta dari Hasan dan belum menerima pemberitahuan gugatan secara resmi. Belum ada keterangan resmi atau lebih lanjut mengenai gugatan ini. Nah sekarang teman-teman yang punya ide bisnis atau ide penelitian masih ragu untuk mengembangkan idenya? Nanti malah keduluan orang yang bahkan kita tak kenal lho! Ayo mulai! Tak sempurna pun tak apa ^^.",
8/1/2022,down,Finansial,"Ditjen Pajak: Bitcoin, NFT, sini nakk…","Intinya… Ditjen Pajak menegaskan bahwa aset digital wajib dilaporkan pada SPT tahunan termasuk BTC dan NFT. Walaupun belum ada aturan pajak khusus tetapi pemerintah masih membahas aturan pajak yang bisa diterapkan pada transaksi digital BTC, NFT dan kawan-kawannya.","Aset digital termasuk Bitcoin dan NFT (Non Fungible Token) yang dimiliki oleh wajib pajak harus dicantumkan dalam Surat Pemberitahuan (SPT) Tahunan. Hal ini ditegaskan oleh Direktorat Jenderal Pajak Kementerian Keuangan. ""Aset NFT maupun aset digital lainnya wajib dilaporkan di SPT Tahunan dengan menggunakan nilai pasar tanggal 31 Desember pada tahun pajak tersebut,"" ujar Direktur Penyuluhan, Pelayanan, dan Hubungan Masyarakat DJP Neilmaldrin Noor kepada CNBC Indonesia, Jumat (7/1/2022) dikutip dari CNBC Indonesia. Ia juga menjelaskan bahwa belum ada aturan pajak khusus untuk transaksi digital tersebut, jadi pajak yang dikenakan saat laporan SPT sesuai dengan Pajak Penghasilan (PPh). ""Namun, ketentuan umum aturan perpajakan tetap dapat digunakan,"" tambahnya. Sesuai dengan ketentuan umum pajak wajib pajak akan dikenakan perhitungan sesuai dengan UU PPh, karena transaksi aset digital tersebut termasuk pendapatan dari penghasilan yang diterima wajib pajak. ""Sebagaimana disebutkan dalam UU PPh, setiap tambahan kemampuan ekonomis dikenakan pajak. Hal itu termasuk transaksi yang sedang kita bahas ini, maka tetap dikenakan pajak dengan sistem self assessment,"" jelasnya. Untuk saat ini aturan pajak khusus terkait dengan aset digital seperti Bitcoin dan NFT masih dalam pembahasan pemerintah. ""Transaksi NFT dan bitcoin masih dalam pembahasan pemerintah,"" tambahnya.",
10/1/2022,up,Finansial,"BTC lagi ATL, Saatnya untuk beli?",Intinya... Bitcoin (BTC) sedang mengalami bullish trend dan telah turun sebesar 40% bila dibandingkan dengan harga nya pada November 2021.,"Bitcoin telah dibeli di harga terendah semenjak September lalu. Harga Bitcoin telah turun sebesar 40% dari harga tertinggi nya di November 2021 dengan nilai sampai $ 69,000. Dengan nilai berada pada angka $40,749.90 pada jam 10.50 pagi hari Jumat lalu, hal ini ternyata juga dialami oleh komoditas–komoditas cryptocurrencies lainnya. Ethereum adalah salah satunya telah turun 12% dari harganya di 30 September lalu, bersamaan dengan itu Solaris juga turun 12% menjadi $148.58. Apa penyebab dari ATL yang dialami oleh cryptocurrencies saat ini? The Federal Reserve, adalah badan institusi yang ditunjuk oleh pemerintah sebagai bank sentral Amerika Serikat. Pada Desember lalu, Federal Reserve melakukan rapat dan mereka memutuskan untuk menjual obligasi yang mereka punya dengan catatan mereka akan menaikkan suku bunga. Pemerintah dan Federal Reserve tidak memberikan kepastian akan kapan kenaikan suku bunga ini dilaksanakan. Namun, pasar memantau dan memprediksi bahwa hal tersebut akan direalisasikan pada bulan Maret 2022. Hal ini membuat aset-aset seperti cryptocurrencies dan saham terlihat using dibandingkan dengan obligasi yang lebih menjanjikan, terlebih lagi dengan peningkatan suku bunga yang akan dijanjikan oleh Federal Reserve. Tidak hanya cryptocurrencies, seperti BTC dan ETH yang sudah kita bahas sebelumnya, NASDAQ juga mengalami penurunan sebesar 3% dibandingkan dengan posisinya pada Maret tahun lalu. Adapun hal lain yang berhubungan dengan cryptocurrencies adalah ditutupnya pusat pertambangan Bitcoin kedua terbesar di dunia dikarenakan oleh protes yang mematikan di Kazakhstan. Asia tengah memegang sebesar 18% dari total pertambangan Bitcoin menurut Cambridge Centre for Alternative Finance. Banyak crypto miners yang bermigrasi dari Kazakhstan ke Negeri Tirai Bambu yang melarang penambangan cryptocurrencies. Meskipun jumlah penambang tidak berdampak langsung pada harga Bitcoin, namun sekuritas dari jaringan tentunya berdampak terhadap mentalitas pengguna cryptocurrencies sesuai dengan apa yang dikatakan oleh Marcus. “Kekuatan komputasi Bitcoin tidak secara langsung berkorelasi dengan harga Bitcoin, tetapi memberikan indikasi keamanan jaringan, sehingga penurunan dapat menakuti investor dalam jangka pendek,” ujar Marcus Sotiriou, seorang analis aset digital GlobalBlock di Inggris. Kalau begitu, apakah sekarang adalah waktunya untuk turun ke dunia crypto yang lagi ATL atau lebih baik cuan di obligasi? Jawabanya ada di tanganmu sobat PukulEnam!",
12/1/2022,down,Finansial,Bakalan ada perusahaan patungan Bukalapak dan CT nih…,Intinya… Bukalapak dan Bos CT Corp Chairul Tanjung berencana untuk membuat perusahaan bidang bisnis e-commerce khusus untuk sayuran dan makanan segar atau fresh and grocery.,"Hubungan kerjasama bisnis yang dijalani antar CT Corp dan PT Bukalapak tidak hanya terhenti sampai pada perkembangan PT Allo Bank Indonesia Tbk (BBHI) saja, tapi mereka berencana untuk membentuk perusahaan patungan baru. Saham PT Bukalapak.com Tbk (BUKA) masih berada di level Rp 448 per saham. Dikutip dari RTI, Selasa(11/1/2022), saham Bukalapak bergerak dua arah dengan berada di zona hijau saat pagi hari dan kemudian turun ke zona merah pada masa penutupan pasar. Saham Bukalapak bergerak antara level Rp 446 hingga 474 per lembar saham. Saham Bukalapak telah ditransaksikan sebanyak 12.906 kali dengan nilai transaksi Rp 120,17 miliar. Volume saham yang ditransaksikan sebanyak 261,21 juta saham. Sementara, kapitalisasi pasar Bukalapak mencapai Rp 47 triliun. Bukalapak akan masuk menjadi investor strategis Allo Bank melalui rights issue yang sedang dalam proses. Allo Bank akan menerbitkan saham baru dengan hak memesan efek terlebih dahulu (HMETD) sebesar 10,04 miliar atau 46,24% dari modal yang ditempatkan. Chairul Tanjung yang menguasai 90% dari saham Allo Bank saat ini hanya berkomitmen untuk mengeksekusi 30% dari haknya dalam right issue tersebut. Selebihnya telah dialihkan ke beberapa investor seperti Bukalapak dan Salim Group. Setelah right issue, Bukalapak akan memiliki BBHI sebesar 11,49% dengan catatan pemegang saham dan investor strategis yang mendapatkan pengalihan hak dari pemegang saham utama melaksanakan haknya untuk membeli saham baru. Perusahaan patungan yang akan dibentuk oleh CT Corp dan Bukalapak merupakan perusahaan bidang bidang bisnis e-commerce khusus untuk sayuran dan makanan segar atau fresh and grocery. ""Sekarang sedang dalam proses, kami akan bentuk perusahaan patungan e-commerce khusus untuk fresh and grocery antara Trans Retail dan Bukalapak,” ungkap Chairul Tanjung, Selasa (11/1/2022). Tercatat bahwa sebagian besar saham perusahaan ini akan dimiliki oleh CT Corp. ""55% CT Corp, 45% Bukalapak,"" ucap Chairul Tanjung. Pembentukan perusahaan patungan ini diungkapkan oleh Chairul Tanjung usai menggelar konferensi pers tentang right issue BBHI di gedung BEI, Jakarta, Selasa (11/1/2022).",
